#{"t_start": 1674316415.0256553, "env_id": "gripper-env-v0"}
r,l,t
10000.0,1,4714.539601
7614.622112,14,4716.474465
9699.079574,3,4717.790295
10000.0,1,4719.007175
8495.921229,9,4720.574257
7700.059675,13,4722.524747
9698.782376,3,4723.773194
8697.081719,8,4725.307993
8898.463474,7,4726.824201
8500.310473,9,4729.123875
9300.302051,5,4730.540508
10000.0,1,4731.740285
6602.040972,21,4733.907057
9097.64893,6,4735.340265
9096.054449,6,4736.806921
7611.717189,14,4738.79107
8297.270679,10,4740.524034
9298.171504,5,4741.87352
9497.791405,4,4743.173717
9298.463401,5,4744.708397
10000.0,1,4745.890744
9698.260863,3,4747.206697
9098.680699,6,4748.65673
4700.002971,28,4751.524635
7898.418286,12,4753.423659
10000.0,1,4754.589948
10000.0,1,4755.739771
8698.777845,8,4757.291075
9297.985047,5,4758.6401
10000.0,1,4759.87394
9498.01606,4,4761.17299
6097.760127,21,4763.557287
188.84911,51,4767.940706
8495.701674,9,4769.590667
8414.258344,10,4771.541353
9298.196313,5,4772.940701
-3501.666026,69,4777.641025
7696.819691,13,4779.558203
9097.548096,6,4780.957471
9498.323453,4,4782.323801
9698.311655,3,4783.606981
9412.601809,5,4784.957096
-2500.139668,64,4790.325119
9297.536678,5,4791.707533
9297.964065,5,4793.073102
6598.191024,19,4795.090443
5698.820403,24,4797.724094
-1205.092203,58,4803.174233
9297.68677,5,4804.556792
9293.251803,5,4805.957286
9298.708419,5,4807.290512
9298.713406,5,4808.790932
9499.582746,4,4810.12417
9498.347948,4,4811.543106
8697.967287,8,4813.207793
9497.028913,4,4814.490099
9698.000999,3,4815.807358
7398.395436,15,4818.023675
10000.0,1,4819.206223
8201.902934,11,4820.990041
9497.582115,4,4822.374259
9298.309836,5,4823.724
8899.999503,7,4825.257685
4098.301207,31,4828.874554
9697.578979,3,4830.257509
6698.715079,18,4832.992205
9499.918138,4,4834.340471
8498.247963,9,4836.007737
6298.333503,20,4838.057004
9296.843723,5,4839.473891
8300.001931,10,4841.090874
9298.491667,5,4842.439896
9699.587029,3,4843.706443
9498.85487,4,4845.023201
9499.162719,4,4846.4072
5497.997272,24,4848.957378
9497.98581,4,4850.256733
6697.932055,18,4852.574358
7697.809748,13,4854.440733
9498.20673,4,4855.724159
9699.84386,3,4856.989925
9298.407387,5,4858.424273
9298.658979,5,4859.873632
9297.997315,5,4861.206681
9289.475222,5,4862.556846
9098.231966,6,4864.023637
9298.583144,5,4865.390396
9700.876631,3,4866.623379
4009.564329,33,4869.440324
9299.947365,5,4870.790631
9297.023124,5,4872.191727
9298.162475,5,4873.573797
9100.00015,6,4875.006499
9697.970964,3,4876.272936
9500.241023,4,4877.55601
8412.901578,13,4879.82517
9100.152833,6,4881.307341
9296.727294,5,4882.707419
8197.148093,11,4884.424074
9300.255176,5,4885.823868
8898.267592,7,4887.32363
9498.365485,4,4888.63956
10000.0,1,4889.839728
7699.621207,13,4891.790342
9500.917942,4,4893.193079
9297.951589,5,4894.508703
8896.3712,7,4896.02387
8896.692392,7,4897.558524
9298.304653,5,4898.889884
9499.314849,4,4900.190219
9414.183496,5,4901.590081
9690.903462,3,4902.906483
9498.295114,4,4904.139804
